# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec  5 05:36:43 2017
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
#
rowid,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,st_dist,st_teff,st_mass,st_rad
32,38.02100000,0.217500,0.140000,,0.05700,,,8.52,5577.00,0.94,0.96
33,123.01000000,0.476000,0.350000,,0.07200,,,8.52,5577.00,0.94,0.96
34,796.00000000,1.930000,0.220000,,2.46000,,,19.84,4792.00,1.52,2.30
35,116.69260000,0.481000,0.399000,,7.40000,,,18.11,5439.00,1.09,1.94
36,691.90000000,2.100000,0.117000,,3.00000,,,81.50,4846.00,2.49,10.50
37,93.40000000,0.490000,0.060000,,1.50000,,,159.10,4847.40,1.80,9.90
38,952.70000000,2.500000,0.206000,,5.30000,,,97.18,4785.00,2.40,11.00
39,181.40000000,0.700000,0.027000,,3.20000,,,45.52,4665.00,1.40,11.00
40,,260.000000,,,13.50000,,,45.52,,,
41,481.90000000,1.300000,0.200000,,6.40000,,,2618.00,4095.00,1.14,32.35
42,268.94000000,0.777000,0.290000,,1.47000,,,50.03,5008.00,0.86,0.95
43,153.22000000,0.576000,0.001000,,1.06100,,,774.00,4649.00,1.08,8.95
44,137.48000000,0.539000,0.260000,,1.11000,,,175.44,4796.00,1.10,14.70
45,7.78287000,0.066000,0.220000,,6.37000,,,25.40,4410.00,0.63,0.71
46,379.63000000,1.450000,0.150000,,21.42000,,,200.00,4137.00,2.80,49.00
47,621.99000000,2.010000,0.180000,,12.47000,,,200.00,4137.00,2.80,49.00
48,578.20000000,1.300000,0.210000,,4.20000,,,,4296.00,0.80,17.30
49,41.68550000,0.241000,0.000000,89.550,0.05129,0.199,7.89000,,5766.00,0.96,0.93
50,392.60000000,1.000000,0.200000,,0.91000,,,,4414.00,0.74,11.00
51,2590.00000000,4.200000,0.350000,,1.60000,,,,4943.00,1.52,7.60
52,3.87280000,0.042800,0.000000,,0.02700,,,20.10,4324.00,0.70,
53,125.94000000,0.435000,0.310000,,0.17000,,,20.10,4324.00,0.70,
54,5.60000000,0.056000,0.150000,,0.04500,,,42.09,4746.00,0.74,
55,237.60000000,0.680000,0.190000,,0.33000,,,42.09,4746.00,0.74,
56,3.48777000,0.045200,0.019000,,0.45800,,,80.00,5393.00,1.01,
57,1667.00000000,2.280000,0.050000,,0.53000,,,27.30,4475.00,0.57,0.52
58,714.30000000,2.100000,0.210000,,10.60000,,,766.00,,2.40,
59,655.60000000,1.340000,0.540000,,5.10000,,,37.54,4714.00,0.74,0.69
60,10037.50000000,2.600000,,,10.50000,,,23.10,580.50,0.02,
61,,210.000000,,,12.56900,,,,,0.35,
62,,440.000000,,,17.00000,2.200,,165.00,,,
63,1.50895570,,0.000000,85.100,1.03000,1.490,0.38000,,5950.00,0.95,1.11
64,13.24060000,0.105500,0.530000,88.550,2.75000,0.970,3.70000,345.00,5075.00,0.89,0.79
65,2.99433000,0.043600,0.000000,83.170,2.33000,1.430,0.99000,560.00,6440.00,1.27,1.37
66,2.82804200,0.040160,0.070000,85.480,0.91700,1.440,0.41100,1150.00,5675.00,1.08,1.12
67,4.03519000,0.051000,0.000000,88.020,1.30800,0.885,2.34000,1060.00,5945.00,1.09,1.01
68,1.51214000,0.027000,0.000000,79.600,7.60000,1.090,7.30000,1340.00,6035.00,1.13,1.21
69,5.35227000,0.061800,0.330000,85.010,0.53500,1.170,0.44000,840.00,5650.00,1.10,1.19
70,3.76810000,0.046100,0.000000,88.340,2.43000,1.020,2.82000,920.00,5740.00,1.04,1.59
71,1.90006930,0.029500,0.080000,86.500,3.47000,1.310,2.20000,870.00,5440.00,0.95,1.00
72,3.89713000,0.051800,0.047000,88.000,1.11000,1.290,0.71000,770.00,6090.00,1.21,1.65
73,1.74299350,0.027980,0.014300,88.080,3.47000,1.466,1.47000,200.00,5625.00,0.96,0.91
74,9.24285000,0.090200,0.562000,88.210,4.24000,0.840,8.87000,1230.00,5880.00,1.14,1.02
75,9.75598000,0.092000,0.077000,89.749,0.03800,0.435,0.24900,592.00,5939.00,1.10,1.14
76,3.63130000,0.048000,0.160000,85.700,2.80000,1.050,3.00000,600.00,5900.00,1.14,1.61
77,5.11340000,0.056000,0.000000,86.500,0.01800,0.330,0.90000,600.00,4950.00,0.91,0.86
78,11.75900000,0.098000,0.000000,89.000,0.08800,0.440,1.30000,600.00,4950.00,0.91,0.86
79,4.86069000,0.057800,0.000000,84.500,0.27000,1.080,0.15000,1000.00,6040.00,1.09,1.19
80,4.20474000,0.052600,0.000000,86.800,0.52000,1.260,0.28000,1670.00,5590.00,1.09,1.79
81,3.57532000,0.047600,0.065000,86.700,10.39000,1.007,12.60000,,5900.00,1.05,1.08
82,5.20851000,0.060300,0.047000,88.100,0.48400,0.955,0.69000,560.00,5150.00,1.01,1.78
83,2.85057000,0.038600,0.082000,87.300,0.85000,0.900,1.45000,765.00,5260.00,0.97,0.90
84,4.25680000,,0.000000,85.900,21.66000,1.010,26.40000,680.00,6740.00,1.37,1.56
85,9.20205000,0.090000,0.000000,90.000,0.72000,1.190,0.52500,,6190.00,1.16,1.17
86,4.03789620,0.049470,0.090000,85.830,0.46700,1.388,0.21700,,6100.00,1.00,1.19
87,8.88659300,0.085500,0.100000,89.070,2.96000,1.166,2.32000,,6090.00,1.05,1.02
88,0.85359159,0.017016,0.000000,80.780,0.01800,0.141,7.50000,153.70,5259.00,0.91,0.82
89,3.69800000,0.046000,0.000000,80.000,0.02643,,,153.70,5259.00,0.91,0.82
90,6.21229000,0.063000,0.000000,88.400,0.22000,0.570,1.60000,380.00,5080.00,0.88,0.77
91,95.27380000,0.407000,0.110000,89.990,0.84000,1.050,0.90000,460.00,5625.00,0.99,0.94
92,6.71837000,0.071000,,89.000,0.15000,0.570,1.10000,,5970.00,1.08,0.79
93,246.36000000,0.360000,0.345000,56.600,28.50000,,,20.77,,0.07,
94,,330.000000,,,11.00000,,,140.00,,0.33,0.27
95,10220.00000000,8.190000,0.390000,,6.05000,,,,,0.69,
96,21.16961900,,0.180000,89.500,,0.196,,,3880.00,0.61,0.59
97,0.57130800,,0.000000,80.200,,0.130,,,5590.00,0.93,0.83
98,13.34124500,,0.000000,87.200,,0.226,,,5590.00,0.93,0.83
99,,800.000000,,,16.00000,,,140.00,2838.00,0.05,
100,555530.00000000,160.000000,0.870000,55.000,,,,7.69,,2.00,
101,1.62892870,0.015330,,86.580,0.00513,0.128,3.10000,12.04,,0.18,0.26
102,41.38000000,0.166000,0.380000,,0.30425,,,11.03,,,
103,532.58000000,0.912000,0.342000,,0.21414,,,11.03,,,
104,1.58040456,0.014110,,88.170,0.01970,0.254,1.49000,12.95,3170.00,0.16,0.18
105,11.44330000,0.071700,0.000000,,0.01700,,,3.57,3567.00,0.38,0.39
106,8.63182000,0.060700,0.073000,,0.03335,,,14.97,3500.00,0.40,
107,25.63058000,0.125400,0.099000,,0.02140,,,14.97,3500.00,0.40,
108,603.95116000,1.030400,0.373000,,0.09250,,,14.97,3500.00,0.40,
109,2288.00000000,2.410000,0.210000,,0.82000,,,12.12,3370.00,0.36,0.38
110,18.64980000,0.091101,0.100000,,0.00909,,,3.80,3382.00,0.29,0.29
111,4.72340000,0.036467,0.170000,,0.00371,,,3.80,3382.00,0.29,0.29
112,133.71000000,0.490000,0.511000,,3.37000,,,17.62,5540.00,0.90,0.90
113,1.22003000,0.019700,0.190000,,0.00560,,,28.48,3717.00,0.68,0.50
114,5.97400000,0.057000,0.110000,,0.01315,,,28.48,3717.00,0.68,0.50
115,257.80000000,0.698000,0.320000,,0.03304,,,28.48,3717.00,0.68,0.50
116,692.00000000,1.150000,0.110000,45.000,2.50000,,,15.10,3510.00,0.42,
117,4100.00000000,4.500000,0.370000,,2.30000,,,20.03,3900.00,0.69,
118,30.59870000,0.143390,0.060000,,0.07406,,,15.77,3466.00,0.42,0.40
119,122.61960000,0.361750,0.110000,,0.06636,,,15.77,3466.00,0.42,0.40
120,48.13450000,0.193940,0.120000,,0.02391,,,15.77,3466.00,0.42,0.40
121,13.25430000,0.082080,0.210000,,0.01032,,,15.77,3466.00,0.42,0.40
122,5.36360000,0.032820,0.230000,,0.00636,,,5.32,3159.00,0.16,0.12
123,40.54000000,0.126400,0.170000,,0.00727,,,5.32,3159.00,0.16,0.12
124,14.20700000,0.089000,0.310000,,0.02080,,,23.16,3526.00,0.47,0.44
125,3.33664870,0.031000,0.017000,88.880,0.04300,0.346,1.18000,25.20,3652.00,0.51,0.48
126,2.64561000,0.028700,0.080000,59.000,0.02600,,,19.80,,0.45,0.43
127,2.64977000,0.029000,0.000000,,0.00777,,,17.79,3722.00,0.50,0.49
128,13.74000000,0.089000,0.049000,,0.01970,,,17.79,3722.00,0.50,0.49
129,7.37090000,0.058000,0.080000,,0.01800,,,9.04,3600.00,0.48,
130,2.64388312,0.029100,0.138270,86.440,0.07000,0.372,1.80000,10.23,,0.47,0.46
131,,43.500000,,,4.00000,,,17.95,6234.00,1.22,
132,8.70760000,0.066610,0.080000,,0.01686,,,10.03,3685.00,0.52,0.50
133,5.36860000,0.040610,0.000000,,0.04970,,,6.27,,0.31,0.29
134,12.91400000,0.072100,0.000000,,0.01730,,,6.27,,0.31,0.29
135,3.14900000,0.028150,0.000000,,0.00530,,,6.27,,0.31,0.29
136,14.62800000,0.078361,0.130000,,0.00887,,,6.49,3499.00,0.30,0.31
137,598.30000000,1.135000,0.300000,,0.32800,,,10.32,3700.00,0.54,
138,7.20040000,0.050500,0.130000,,0.01800,,,6.80,3350.00,0.33,
139,28.14000000,0.125000,0.020000,,0.01200,,,6.80,3350.00,0.33,
140,62.24000000,0.213000,0.020000,,0.00800,,,6.80,3350.00,0.33,
141,39.02600000,0.156000,0.030000,,0.00800,,,6.80,3350.00,0.33,
142,256.20000000,0.549000,0.080000,,0.01400,,,6.80,3350.00,0.33,
143,4.69380000,0.039000,0.200000,,0.03500,,,4.54,3600.00,0.35,
144,1051.10000000,1.812000,0.323000,45.000,6.70000,,,16.90,,0.71,
145,7337.00000000,6.600000,,,6.80000,,,16.90,,0.71,
146,3.60050000,,0.262000,,0.01400,,,16.90,,0.71,
147,35.39000000,,0.125000,,0.02500,,,16.90,,0.71,
148,38.14000000,0.163530,0.040000,,0.05800,,,4.53,3413.00,0.41,0.42
149,3657.00000000,3.560000,0.080000,,0.68000,,,4.94,3472.00,0.45,
150,35.68000000,0.163000,0.180000,,0.01700,,,4.94,3472.00,0.45,
151,1845.00000000,2.320000,0.050000,,0.91000,,,8.77,,0.49,
152,15.76491000,0.113000,0.041600,,3.91000,,,10.91,5151.00,0.77,
153,61.11660000,0.208317,0.032400,59.000,2.27560,,,4.70,,0.33,
154,30.08810000,0.129590,0.255910,59.000,0.71420,,,4.70,,0.33,
155,1.93778000,0.020807,0.207000,59.000,0.02100,,,4.70,,0.33,
156,124.26000000,0.334300,0.055000,59.000,0.04600,,,4.70,,0.33,
157,,100.000000,,,20.00000,3.000,,139.00,,0.70,
158,,320.000000,,,16.00000,,,145.00,4200.00,0.90,
159,,2000.000000,,,11.30000,1.265,,48.00,,0.33,
160,4.46529976,0.055610,,85.634,0.52500,1.319,0.28200,139.00,5980.00,1.15,1.17
161,4.88781620,0.053000,0.198000,88.500,0.08100,0.422,1.33000,38.00,4780.00,0.81,0.75
162,3.21305980,0.038400,0.000000,89.000,0.21100,0.959,0.31920,142.50,4650.00,0.73,0.70
163,2.91625000,,0.013300,83.400,0.85100,1.272,,214.00,5653.00,1.22,1.56
164,446.27000000,,0.661600,,14.28000,,,214.00,5653.00,1.22,1.56
165,4.62766900,0.060600,0.107000,83.500,2.23200,1.150,1.82000,205.00,6600.00,1.39,1.47
166,10.86350200,0.096400,0.190000,89.100,1.94600,1.072,1.96000,190.00,5568.00,1.01,1.08
167,2.77596000,0.041300,0.036000,86.600,4.19300,1.289,2.42000,235.00,6158.00,1.22,1.24
168,10.33852300,0.088200,0.342000,89.200,0.53400,1.010,0.64000,90.00,5246.00,0.86,0.84
169,5584.00000000,5.600000,0.390000,,3.40000,,,90.00,5246.00,0.86,0.84
170,5.50802300,0.055900,0.084000,88.800,0.19700,0.995,0.25000,166.00,4803.00,0.77,0.75
171,4.00877800,0.046600,0.067000,88.200,0.29200,1.132,0.25000,215.00,4990.00,0.84,0.82
172,5.63347290,0.068780,0.517100,86.720,9.09000,1.157,7.29000,135.32,6290.00,1.36,1.64
173,2.87531700,0.036100,0.015000,86.800,7.24600,0.867,13.78000,70.00,4595.00,0.76,0.69
174,4.12448100,0.049400,0.228000,87.200,4.06300,1.024,4.68000,254.00,5588.00,0.95,1.10
175,3.21222000,0.041400,0.016000,86.900,2.14700,1.080,2.11000,82.00,5302.00,0.92,1.04
176,1.21288287,0.023020,0.000000,85.740,2.07000,1.224,1.40600,393.00,5885.00,1.10,1.09
177,3.35524000,0.046500,0.067000,88.600,0.68500,1.242,0.44000,396.00,6373.00,1.19,1.32
178,3.65283600,0.046600,0.032000,87.600,0.56700,1.190,0.42000,297.00,5500.00,1.01,0.96
179,4.23451600,0.047900,0.124000,88.600,0.05900,0.565,0.40000,134.00,5079.00,0.82,0.79
180,3.03957700,0.040000,0.000000,85.000,0.62000,1.020,,204.00,5300.00,0.94,0.90
181,3.25721500,0.043400,0.051000,88.000,0.62600,1.212,0.44000,395.00,5680.00,1.02,1.10
182,5.72318600,0.066700,0.095000,87.100,0.77800,1.107,0.71000,322.00,6087.00,1.21,1.22
183,2.89973600,0.038660,0.000000,87.070,0.59100,0.827,1.29000,138.00,5185.00,0.92,0.80
184,2.81059500,0.041900,0.035000,83.600,0.71100,1.340,0.37000,193.00,6304.00,1.24,1.22
185,5.00542500,0.055000,0.245000,87.100,2.17100,1.070,2.18000,354.00,6065.00,1.22,1.36
186,2.15000805,0.034300,0.007200,88.900,,1.789,,283.00,6269.00,,1.22
187,3.47447400,0.049900,0.000000,87.200,0.76200,1.686,0.20000,387.00,6446.00,1.38,1.64
188,5.45265400,0.067700,0.441000,87.100,3.32800,1.197,2.40000,257.00,6442.00,1.39,1.53
189,3.64670600,0.049800,0.025000,87.300,1.05400,1.332,0.55000,535.00,6096.00,1.24,1.44
190,1.32734700,0.023800,0.063000,86.000,1.83200,1.264,1.12000,317.00,5560.00,1.02,1.10
191,2.79743600,0.037900,0.058000,86.900,1.16900,1.178,0.89000,411.00,5500.00,0.93,0.88
192,4.64038200,0.052300,0.067000,88.300,0.26700,0.825,0.59000,249.00,5330.00,0.89,0.92
193,3.54387000,0.050900,0.000000,87.000,0.59900,1.571,0.19000,642.00,6430.00,1.40,1.62
194,3.05653600,0.044380,0.000000,89.910,0.67100,1.274,0.40300,314.00,5860.00,1.26,1.60
195,4.45724300,0.060800,0.000000,88.300,0.61500,1.730,0.15000,501.00,6080.00,1.51,2.21
196,2.69404700,0.042600,0.000000,87.700,0.80000,1.685,0.20000,344.00,6390.00,1.42,1.68
197,4.64187800,0.057500,0.000000,85.900,1.04400,1.280,0.61000,447.00,5743.00,1.18,1.53
198,3.33268700,0.044300,0.000000,88.700,0.66200,1.281,0.39000,542.00,5645.00,1.05,1.10
199,4.30121900,0.050700,0.044000,89.100,0.35200,1.242,0.23000,363.00,5295.00,0.94,0.95
200,872.20000000,1.752000,0.494000,,4.00000,,,363.00,5295.00,0.94,0.95
201,3.12899200,0.045200,0.049000,87.800,0.89200,1.426,0.38000,305.00,6330.00,1.26,1.32
202,4.46312900,0.057700,0.123000,85.500,0.49300,1.284,0.28000,296.00,6120.00,1.28,1.40
203,2.69154800,0.043800,0.000000,86.200,1.73000,1.413,0.75000,322.00,6820.00,1.54,1.83
204,2.78849100,0.040750,0.000000,86.750,1.06000,1.260,0.66000,340.00,5960.00,1.16,1.17
205,3.12201090,0.045300,0.115000,83.650,1.35000,1.288,0.78000,497.00,6280.00,1.27,1.70
206,4.21802780,0.050690,0.123000,88.480,0.30900,1.293,0.17800,470.00,5449.00,0.98,1.04
207,2.75359530,0.036940,0.047000,87.020,0.81800,1.009,0.98000,385.00,5131.00,0.89,0.89
208,1.96162410,0.031590,0.134000,86.200,1.48400,1.318,0.80000,719.00,5956.00,1.09,1.21
209,3.79984700,0.041170,0.074000,87.040,0.76000,0.944,1.11800,,4390.00,0.65,0.62
210,3.58524670,0.046040,0.139000,87.700,0.58200,1.182,0.43500,480.00,5808.00,1.01,1.01
211,2.79083270,0.042300,0.246000,82.130,2.18000,1.466,0.86000,310.50,6566.00,1.30,1.43
212,2.46529500,0.040600,0.000000,88.260,1.85000,1.413,,303.00,7500.00,1.47,1.50
213,3.85298500,0.052350,0.000000,85.510,1.05700,1.330,0.55800,261.00,6570.00,1.29,1.46
214,2.60545520,0.039510,0.304000,84.200,0.52700,1.890,0.09600,841.00,5835.00,1.21,1.86
215,2.97208600,0.043630,0.090000,86.200,0.78300,1.590,0.24200,927.00,6002.00,1.25,1.88
216,4.81010250,0.065050,0.000000,88.800,0.34000,2.085,0.05200,320.00,6406.00,1.64,2.55
217,2.20473720,0.036760,0.001600,82.200,1.68200,1.491,0.62900,320.00,6441.00,1.47,1.84
218,3.07637760,0.048700,0.000000,87.500,1.52000,1.500,0.56800,230.00,6200.00,1.28,1.58
219,3.92289000,0.053000,0.000000,86.500,0.78000,1.400,0.35000,480.00,6350.00,1.28,1.32
220,3.44645900,0.044400,0.120000,85.600,1.85500,1.302,1.03000,303.00,5870.00,0.99,1.04
221,3.31284600,0.044910,0.501000,87.790,0.52600,0.969,0.70000,496.00,5880.00,1.10,1.10
222,3.61916130,0.046140,0.340000,88.310,0.85000,1.510,0.29900,,6060.00,1.00,1.44
223,3.14283300,0.047950,0.085000,82.700,2.38000,1.350,1.19000,,6408.00,1.49,2.21
224,3.04404990,0.040570,0.181000,88.550,0.54300,1.212,0.37700,476.00,5523.00,0.96,0.89
225,2.76676410,0.038150,0.142000,88.830,1.07100,1.039,1.19100,513.00,5346.00,0.97,0.93
226,1.74748753,0.027120,0.126000,87.130,2.17000,1.105,1.97000,689.00,5311.00,0.87,0.92
227,2.68650200,0.037440,0.000000,83.530,3.27000,1.300,1.86000,774.00,5738.00,0.97,1.24
228,16.25461100,0.130800,0.029000,89.080,1.33800,0.777,3.50000,339.00,5846.00,1.13,1.09
229,0.83784340,0.017610,0.166000,85.500,1.98000,1.337,1.02000,645.00,5600.00,1.04,1.02
230,1.35413300,0.023000,0.000000,87.200,1.34500,1.168,1.05000,360.00,5227.00,0.88,0.90
231,4.72281240,0.050250,0.079000,87.960,2.74000,0.953,3.89000,207.90,4803.00,0.76,0.69
232,2.16051560,0.033970,0.114000,81.020,1.47000,1.860,0.29000,747.00,5780.00,1.12,1.20
233,1.34849540,0.025470,0.242000,86.600,2.44000,1.487,0.92000,510.00,6346.00,1.21,1.17
234,4.29864320,0.051630,0.176000,86.930,0.61300,1.260,0.38000,466.00,5715.00,0.99,1.11
235,3.30238810,0.047350,0.245000,86.200,0.65000,1.750,0.15300,907.00,6071.00,1.30,2.04
236,4.63703800,0.061100,0.581000,87.300,0.53000,1.500,0.18000,840.00,6438.00,1.42,1.74
237,3.18107810,0.041310,0.202000,86.170,0.67200,1.194,0.48000,521.00,5498.00,0.93,0.92
238,4.60587490,0.054750,0.158000,87.370,0.65300,1.251,0.41100,351.00,5670.00,1.03,1.07
239,3.54785100,0.048500,0.000000,86.200,1.07100,1.381,0.51000,453.00,6351.00,1.21,1.40
240,3.17435160,0.043540,0.096000,86.840,0.70600,1.175,0.54300,339.00,5943.00,1.09,1.06
241,3.37796000,0.047800,0.233000,85.000,0.88000,1.640,0.24300,872.00,6050.00,1.27,1.87
242,2.81265480,0.040240,0.471000,87.100,0.92000,1.249,0.58000,839.00,5700.00,1.10,1.10
243,2.54955510,0.037270,0.080000,87.620,1.19200,1.230,0.79000,255.00,5659.00,1.06,1.02
244,2.10616070,0.031660,0.108000,82.280,0.94100,1.430,0.40000,532.00,5380.00,0.95,0.98
245,1.82099930,0.031990,0.306000,86.900,1.22200,1.464,0.48400,557.00,6300.00,1.32,1.43
246,2.51672900,0.036200,0.013000,88.500,1.32300,1.020,1.55000,420.00,5403.00,1.00,0.93
247,4.76338700,0.054200,0.019000,89.300,0.23700,0.912,0.39000,257.00,5304.00,0.94,0.87
248,3.32527250,0.036230,0.000000,88.210,0.31900,0.998,0.39900,148.40,3724.00,0.57,0.57
249,3.58389300,0.046670,0.376000,87.800,0.13800,0.873,0.25900,829.00,5679.00,1.06,1.09
250,1.91530730,0.030480,0.129000,86.500,0.83700,1.065,0.85000,622.00,5366.00,1.03,1.50
251,,53.000000,,,,6.900,,97.00,10500.00,2.40,
252,157.57000000,0.760000,0.085000,,1.70000,,,140.85,4861.00,2.40,9.30
253,383.70000000,1.030000,0.360000,,1.16000,,,52.80,5582.00,1.01,
254,5.75969000,0.064120,0.073000,,0.04160,,,39.02,5911.00,1.06,1.11
255,16.35700000,0.128590,0.131000,,0.03780,,,39.02,5911.00,1.06,1.11
256,49.74800000,0.269900,0.051000,,0.08050,,,39.02,5911.00,1.06,1.11
257,122.74400000,0.492900,0.119000,,0.07220,,,39.02,5911.00,1.06,1.11
258,604.67000000,1.427000,0.263000,,0.07320,,,39.02,5911.00,1.06,1.11
259,2205.00000000,3.381000,0.095000,,0.20660,,,39.02,5911.00,1.06,1.11
260,70.46000000,0.302000,0.110000,,0.30000,,,30.50,5079.00,0.74,
261,20.81330000,0.153200,0.121000,,0.17200,,,42.00,5695.00,1.11,
262,4.11377500,,0.000000,,0.45000,,,28.98,5291.00,0.87,
263,127.58000000,0.614000,0.050000,,5.90000,,,164.20,4908.00,1.90,10.10
264,778.10000000,2.030000,0.211000,,5.90000,,,138.50,4830.00,1.95,6.30
265,122.10000000,0.460000,0.340000,,0.05000,,,9.24,5630.00,0.85,
266,6.49500000,0.081000,0.048000,,0.96000,,,121.07,5054.00,1.68,4.40
267,47.84000000,0.249000,0.000000,,0.09800,,,49.33,5303.00,0.90,
268,4.55570000,0.049800,0.086000,,0.62000,,,41.60,5017.00,0.79,0.73
269,5.88810000,0.070000,0.090000,,0.36700,,,53.08,6489.00,1.33,
270,55.80600000,0.264300,0.000000,,0.18600,,,20.82,4969.00,0.79,
271,1043.00000000,2.335000,0.110000,,2.10000,,,,5034.00,1.56,
272,199.50500000,0.950000,0.090000,,8.30000,,,102.04,,,
273,1531.00000000,2.611000,0.482000,,6.92000,,,37.40,5870.00,1.01,
274,2890.00000000,4.300000,0.402000,,11.00000,,,87.87,5638.00,1.32,2.50
275,9.55385000,0.088870,0.310000,87.620,,0.214,,,6254.00,1.03,1.28
276,21.05800000,0.150300,0.180000,88.480,,0.393,,,6254.00,1.03,1.28
277,989.20000000,2.015000,0.150000,,0.94000,,,17.35,6218.00,1.11,1.10
278,3630.00000000,4.590000,0.572000,,9.61000,,,36.36,5362.00,0.97,1.62
279,,650.000000,,,11.00000,,,91.83,6516.00,1.50,
280,1075.20000000,2.131000,0.099000,,6.21000,,,32.60,5680.00,1.11,
281,48.05600000,0.269000,0.050000,,0.21000,,,51.26,5797.00,1.12,
282,10.89850000,0.102000,0.530000,,0.26100,,,38.56,6265.00,1.27,
283,1129.00000000,2.000000,0.850000,,3.50000,,,49.40,5122.00,0.84,0.79
284,443.40000000,1.400000,0.060000,,2.60000,,,138.50,4956.00,1.85,5.60
285,395.80000000,1.038000,0.082000,,1.29000,,,68.50,5551.00,0.95,
286,1624.00000000,2.659000,0.239000,,0.99000,,,68.50,5551.00,0.95,
287,68.27000000,0.330000,0.120000,,0.77000,,,65.60,5844.00,1.01,1.02
288,7.85430000,0.079000,0.250000,,0.05400,,,56.92,5783.00,1.05,
289,30.93000000,0.196000,0.150000,,0.07600,,,56.92,5783.00,1.05,
290,5.24000000,0.063500,0.010000,,0.28000,,,59.03,5903.00,1.20,1.24
