"","votes_for_A","votes_for_B","votes_for_C","gender","p_changes_vote"
"162",1,0,0,0,0.295603125276171
"163",0,1,0,1,0.0534806090226249
"164",1,0,0,0,0.251998701598303
"165",0,0,0,0,0
"166",1,0,0,0,0.471129492601459
"167",1,0,0,0,0.528430813354314
"168",1,0,0,1,0.565462838302723
"169",1,0,0,0,0.296954962747829
"170",1,0,0,1,0.266755856586883
"171",1,0,0,1,0.490852860550385
"172",0,0,1,1,0.229865307367898
"173",1,0,0,0,0.0992507821621992
"174",1,0,0,1,0.229538993832323
"175",0,1,0,0,0.0477076582611764
"176",0,1,0,1,0.0691039565859915
"177",0,0,0,0,0
"178",0,0,0,0,0
"179",1,0,0,1,0.314172597952344
"180",0,1,0,0,0.0465568386498811
"181",0,0,1,1,0.223020522510752
"182",0,0,0,0,0
"183",1,0,0,1,0.176654356966386
"184",0,1,0,1,0.04455312903411
"185",1,0,0,0,0.186919398301445
"186",1,0,0,0,0.478407461134809
"187",1,0,0,0,0.310844274977915
"188",1,0,0,1,0.349583381356956
"189",0,0,0,0,0
"190",0,0,0,0,0
"191",0,0,0,0,0
"192",1,0,0,0,0.91524921592373
"193",0,0,0,0,0
"194",0,1,0,0,0.0504299807262712
"195",1,0,0,0,0.668056396060448
"196",1,0,0,1,0.50419069019702
"197",1,0,0,0,0.738751896564101
"198",1,0,0,1,0.438346671468983
"199",0,0,0,0,0
"200",1,0,0,0,0.216227249360712
"201",0,1,0,0,0.0447873401250727
"202",0,0,0,0,0
"203",1,0,0,1,0.396740598123304
"204",0,1,0,0,0.0499003676290473
"205",0,0,0,0,0
"206",1,0,0,1,0
"207",1,0,0,1,0.336277843137292
"208",0,0,1,1,0.14015971608428
"209",0,0,0,0,0
"210",0,1,0,0,0.053139393194528
"211",1,0,0,0,0.578243161551854
"212",1,0,0,0,0.642548743985406
"213",1,0,0,1,0.388980786471857
"214",0,0,1,1,0.131074625997399
"215",0,1,0,0,0.0282426303416623
"216",1,0,0,0,0.360948593941731
"217",0,1,0,0,0.0619661656340785
"218",1,0,0,1,0.252780705134868
"219",1,0,0,0,0.563980581361335
"220",1,0,0,1,0.484871380024403
"221",1,0,0,0,0.548797150237853
"222",1,0,0,0,0.0362628955715719
"223",0,0,0,0,0
"224",1,0,0,1,0.827602747364306
"225",0,1,0,1,0.0636128488034998
"226",0,1,0,0,0.0451486285040633
"227",0,0,1,1,0.0855847212501686
"228",0,0,1,0,0
"229",0,0,0,0,0
"230",0,0,1,0,0.214719058450789
"231",1,0,0,1,0.551249126786813
"232",0,1,0,0,0.0398896595927199
"233",1,0,0,1,0.444671393712533
"234",1,0,0,0,0.702563326618583
"235",1,0,0,1,0.0807995331892362
"236",0,0,1,1,0
"237",1,0,0,0,0.259928923938286
"238",1,0,0,0,0
"239",1,0,0,1,0.739741719578282
"240",1,0,0,0,0.259757065761357
"241",0,1,0,0,0.0553698675418676
"242",0,0,1,0,0.103304328456401
"243",0,0,0,0,0
"244",1,0,0,1,0.340503680631013
"245",1,0,0,0,0.448230159871163
"246",1,0,0,0,0.0739552434513412
"247",1,0,0,1,0.540766918288163
"248",0,0,1,1,0.21330392266633
"249",0,1,0,0,0.0395186967478475
"250",0,0,0,0,0
"251",1,0,0,0,0.448733030751091
"252",0,0,1,1,0.303289363983101
"253",0,1,0,1,0.0600593232613944
"254",0,0,0,0,0
"255",1,0,0,1,0.265568904130221
"256",0,0,1,0,0.200429560292916
"257",0,0,0,0,0
"258",0,0,0,0,0
"259",1,0,0,0,0.255090480006736
"260",0,0,0,0,0
"261",0,0,1,1,0.267527384405221
"262",0,0,0,0,0
"263",0,0,1,1,0.2822447321194
"264",1,0,0,0,0.327614576311306
"265",1,0,0,0,0.335164360047567
"266",0,0,1,0,0.199767296094518
"267",1,0,0,1,0.24213836548769
"268",1,0,0,0,0.405333695937762
"269",1,0,0,1,0.421583695710054
"270",0,0,0,0,0
"271",0,1,0,0,0.0391067713944561
"272",1,0,0,0,0.370581297984938
"273",0,0,0,0,0
"274",0,1,0,1,0.066948476727465
"275",0,0,0,0,0
"276",0,0,1,1,0.218502032554755
"277",0,0,1,1,0.159042784858788
"278",0,0,1,1,0.143706319252097
"279",1,0,0,0,0.103538014358898
"280",0,1,0,0,0.0654223301546559
"281",0,1,0,0,0.0310885776001064
"282",1,0,0,1,0.0764766874865223
"283",0,0,0,0,0
"284",0,0,0,0,0
"285",0,1,0,1,0.0483430168816871
"286",1,0,0,0,0.369605558903397
"287",0,0,0,0,0
"288",1,0,0,0,0.427068195066543
"289",1,0,0,0,0.349397430639243
"290",1,0,0,1,0.590469772887792
"291",0,0,1,0,0.255888835638553
"292",0,0,1,1,0.228839657901019
"293",1,0,0,0,0.0727668702984171
"294",0,1,0,0,0.0354262106884339
"295",0,0,0,0,0
"296",0,1,0,1,0.0381345218027974
"297",0,0,1,0,0.197160243889385
"298",0,0,0,0,0
"299",0,0,0,0,0
"300",0,0,0,0,0
"301",0,0,1,0,0.176791928965677
"302",0,1,0,1,0.0416669179834212
"303",0,0,0,0,0
"304",0,0,0,0,0
"305",0,0,0,0,0
"306",1,0,0,0,0.60381651615166
"307",0,0,1,0,0.284930254125245
"308",1,0,0,1,0.464261995445169
"309",0,0,0,0,0
"310",1,0,0,0,0.473503730283347
"311",1,0,0,1,0.109031151147993
"312",0,0,0,0,0
"313",1,0,0,0,0.699561430476097
"314",1,0,0,1,0.192307462549418
"315",0,0,1,0,0.118511182268553
"316",0,0,1,0,0.309328050227574
"317",1,0,0,0,0.268719870407394
"318",0,1,0,0,0.0606718039946719
"319",0,1,0,1,0.0469464341188132
"320",0,1,0,0,0.0430248920697874
"321",0,1,0,1,0.0517016650841819
"322",0,0,0,0,0
"323",1,0,0,0,0.413313611999355
"324",0,1,0,1,0.0391169597228493
"325",1,0,0,0,0.475593547135038
"326",1,0,0,1,0.493658244012011
"327",1,0,0,0,0.180147004655091
"328",0,1,0,0,0.0592072790413465
"329",1,0,0,0,0.472053388676002
"330",0,0,1,1,0.387301411745746
"331",1,0,0,0,0.494415763349424
"332",1,0,0,1,0.427882407482613
"333",0,0,1,1,0
"334",1,0,0,0,0.284283277696962
"335",1,0,0,0,0.520050519460465
"336",1,0,0,1,0.234064862539144
"337",1,0,0,1,0.128310111841801
"338",1,0,0,0,0.403705970375744
"339",0,1,0,1,0.0441325173873649
"340",0,0,0,0,0
"341",0,0,1,1,0.0288028957798286
"342",1,0,0,0,0.395526744621197
"343",0,0,0,0,0
"344",1,0,0,0,0.260951175846849
"345",0,0,1,0,0
"346",0,0,1,1,0.155085763975705
"347",0,0,0,0,0
"348",0,1,0,0,0.045212675272472
"349",1,0,0,1,0.463305366706718
"350",0,0,0,0,0
"351",0,0,1,1,0.192093807660049
"352",0,0,1,1,0.362540189258792
"353",1,0,0,0,0.0734754524776758
"354",1,0,0,0,0.40237022076945
"355",0,1,0,0,0.0546569462728511
"356",0,0,0,0,0
"357",1,0,0,0,0.415259096538843
"358",1,0,0,1,0.110486565194388
"359",0,0,1,0,0.435683371893114
"360",0,0,1,1,0.305683992136922
"361",0,0,1,1,0.279215545839481
"362",0,0,1,1,0.187139646066095
"363",0,1,0,0,0.0497919605893235
"364",0,1,0,0,0.0491451379335215
"365",0,0,1,1,0.16174795634561
"366",1,0,0,0,0.309057826344414
"367",0,1,0,1,0.0460981165517547
"368",1,0,0,0,0.0115539981853878
"369",0,0,1,1,0.300595663065662
"370",0,0,1,1,0.127271696037662
"371",1,0,0,0,0.180126531838052
"372",0,0,1,1,0
"373",1,0,0,1,0.442908888140718
"374",0,0,0,0,0
"375",0,0,1,1,0.28868312387001
"376",1,0,0,0,0.527059828958567
"377",1,0,0,1,0.105171020739366
"378",0,0,1,1,0.339653709566888
"379",0,1,0,1,0.0596518035095883
"380",1,0,0,0,0.424939919092476
"381",1,0,0,0,0.389463996641125
"382",0,0,1,0,0.143910784592568
"383",0,0,0,0,0
"384",1,0,0,0,0.420887777908813
"385",1,0,0,0,0.655119740516427
"386",0,0,1,1,0.0381287789776
"387",1,0,0,0,0.435187908926433
"388",1,0,0,0,0.280828276254877
"389",1,0,0,1,0.0780414792787342
"390",0,1,0,0,0.0380818595811262
"391",1,0,0,0,0.307073432465671
"392",1,0,0,1,0.467403918830753
"393",0,0,0,0,0
"394",0,0,1,0,0.279360248687
"395",0,1,0,1,0.0403369850481377
"396",1,0,0,0,0.367415446502638
"397",0,0,0,0,0
"398",1,0,0,0,0.506681977640825
"399",1,0,0,0,0.580140145541404
"400",0,0,0,0,0
"401",1,0,0,1,0.167018684934854
"402",0,1,0,0,0.0439521167291666
"403",1,0,0,0,0.518160496465735
"404",0,1,0,0,0.0415498797987899
"405",0,0,1,1,0.153930952460063
"406",1,0,0,0,0.342262353700607
"407",0,0,1,1,0.209899931917356
"408",1,0,0,0,0.312275560559675
"409",0,0,0,0,0
"410",1,0,0,1,0.496146355969307
"411",0,0,1,1,0.0961992429821883
"412",1,0,0,0,0.233923366263205
"413",1,0,0,0,0
"414",0,0,0,0,0
"415",0,0,1,1,0.332167315035483
"416",1,0,0,1,0.488236967479033
"417",0,1,0,0,0.0431363414433419
"418",0,0,1,0,0.358430113901111
"419",0,0,0,0,0
"420",0,0,1,0,0.249243553850378
"421",1,0,0,0,0.199871259720102
"422",1,0,0,0,0.0952385856587392
"423",1,0,0,0,0.565499177740936
"424",0,0,1,1,0.22647578635435
"425",0,1,0,1,0.062458696535828
"426",0,1,0,0,0.0492274520940142
"427",1,0,0,1,0.348908554861917
"428",0,0,1,0,0.105806081030015
"429",1,0,0,1,0.0777082497374441
"430",1,0,0,0,0.214516349056642
"431",1,0,0,0,0.0528603641004265
"432",0,0,1,1,0.408904423072996
"433",0,0,1,0,0.476193851579066
"434",0,0,1,1,0.228832846985629
"435",0,1,0,0,0.046573660523247
"436",1,0,0,0,0.443504702249088
"437",1,0,0,0,0.702489792456675
"438",1,0,0,0,0.419182262602054
"439",1,0,0,0,0.30505755255643
"440",0,0,1,1,0.404469399080459
"441",0,0,1,1,0.368994220830404
"442",0,0,0,0,0
"443",1,0,0,1,0.455420840774815
"444",0,0,1,1,0.0534729949891624
"445",0,0,0,0,0
"446",0,0,1,1,0.157056106836986
"447",1,0,0,0,0.112329543209887
"448",0,0,1,0,0.524311909454325
"449",1,0,0,0,0.0812440780810834
"450",0,1,0,1,0.0506318381043189
"451",0,0,0,0,0
"452",1,0,0,0,0.212635502807178
"453",0,0,1,0,0.153993399925778
"454",0,1,0,0,0.0436957475270064
"455",0,1,0,0,0.0482375670449971
"456",0,1,0,1,0.0491702605690189
"457",1,0,0,1,0.423480529652788
"458",0,0,1,1,0.268201914212775
"459",1,0,0,1,0.487890413680882
"460",1,0,0,1,0
"461",1,0,0,0,0.0703048120427932
"462",0,1,0,1,0.0505942942224378
"463",0,0,1,1,0.12813515481986
"464",1,0,0,0,0.401019443663093
"465",0,0,1,0,0.139454291582265
"466",1,0,0,0,0.181708755079923
"467",0,1,0,1,0.0305020980945647
"468",0,0,1,0,0.100790678228762
"469",0,0,1,0,0.212610364313347
"470",0,0,0,0,0
"471",1,0,0,0,0.279365665453694
"472",0,0,1,0,0.34065034230817
"473",1,0,0,0,0.281631022650568
"474",0,0,1,1,0.112237251154517
"475",1,0,0,1,0.080453886136495
"476",0,1,0,0,0.0441992428985802
"477",0,1,0,0,0.0673263736576317
"478",0,1,0,1,0.054277693891887
"479",1,0,0,1,0.542181363840233
"480",0,0,1,0,0.106451984083065
"481",1,0,0,0,0.371113192734629
"482",0,1,0,0,0.0480438166172205
"483",1,0,0,1,0.343292985388756
"484",1,0,0,0,0.308736945788353
"485",0,1,0,1,0.0413973298193966
"486",0,0,0,0,0
"487",1,0,0,0,0.0582333930426361
"488",0,0,0,0,0
"489",0,0,1,1,0.13346013575228
"490",1,0,0,1,0.37168391806984
"491",0,1,0,1,0.0605523565015148
"492",0,0,1,1,0
"493",0,0,1,1,0.137479744382645
"494",0,0,0,0,0
"495",0,0,1,0,0.194019520349658
"496",0,0,0,0,0
"497",1,0,0,1,0.287857584139943
"498",0,0,1,1,0.0486423964964594
"499",0,0,0,0,0
"500",1,0,0,1,0.722672399929257
"501",1,0,0,0,0.400008444423957
"502",0,1,0,0,0.0562911149507288
"503",0,0,0,0,0
"504",0,0,1,1,0.496249480199766
"505",0,0,1,0,0.279940460013021
"506",1,0,0,0,0.245514831236839
"507",0,1,0,1,0.0517614630265003
"508",0,0,0,0,0
"509",1,0,0,0,0.401072147460865
"510",0,0,1,1,0.199710676943051
"511",0,0,0,0,0
"512",0,0,0,0,0
"513",0,0,1,1,0.279852369456618
"514",0,0,0,0,0
"515",0,0,1,1,0.299855989593319
"516",0,0,0,0,0
"517",0,1,0,1,0.0352815309882532
"518",0,0,1,1,0.140890631309963
"519",0,0,0,0,0
"520",1,0,0,0,0.661673330463259
"521",1,0,0,1,0.150272281081702
"522",0,0,1,1,0.357669082845367
"523",0,0,0,0,0
"524",0,0,1,1,0.21967048684984
"525",0,0,0,0,0
"526",0,1,0,1,0.0520684559798557
"527",0,0,0,0,0
"528",0,0,0,0,0
"529",0,0,0,0,0
"530",1,0,0,0,0.365621306035196
"531",1,0,0,0,0
"532",0,0,1,1,0
"533",1,0,0,0,0.0678649991132976
"534",1,0,0,0,0.391961147727328
"535",0,0,0,0,0
"536",0,0,1,1,0.125900437458156
"537",0,1,0,0,0.0594875479566309
"538",1,0,0,0,0.609122848465963
"539",1,0,0,1,0.301429234287256
"540",0,1,0,1,0.0504421688010127
"541",0,0,1,1,0.222488460415929
"542",0,0,1,1,0.164023797126302
"543",1,0,0,1,0.285413163120405
"544",1,0,0,0,0.852219340502334
"545",0,1,0,1,0.0455732627966889
"546",0,1,0,0,0.0590678056590984
"547",0,0,0,0,0
"548",0,0,0,0,0
"549",1,0,0,0,0.434060730963353
"550",0,1,0,0,0.0436348223200158
"551",0,0,1,1,0.147639384569781
"552",0,0,1,1,0.3812709213469
"553",0,0,1,1,0.221624456379008
"554",0,1,0,1,0.053419067244569
"555",0,0,1,1,0.370551328195128
"556",0,0,0,0,0
"557",1,0,0,0,0
"558",1,0,0,1,0.395462774894998
"559",1,0,0,0,0.603760062509638
"560",0,0,0,0,0
"561",1,0,0,1,0.68699500607378
"562",0,0,1,0,0.368759107619373
"563",1,0,0,1,0.598212711099551
"564",0,1,0,1,0.0575466072075434
"565",0,0,1,0,0.330171686525294
"566",0,0,1,1,0.366019077527692
"567",0,0,1,0,0.186313433590498
"568",0,0,1,0,0.22449396968702
"569",0,0,1,1,0.358995092419913
"570",0,0,1,1,0.375220094119721
"571",1,0,0,1,0.281413116675853
"572",0,0,1,1,0.475443000976413
"573",0,1,0,1,0.0639188762473941
"574",0,0,1,1,0.188212628237893
"575",1,0,0,0,0.372809127881516
"576",1,0,0,0,0.403876514621254
"577",0,1,0,1,0.0424856338631479
"578",0,1,0,1,0.0675394896191056
"579",1,0,0,1,0.397171492971133
"580",0,0,1,0,0.0903546595978374
"581",0,0,0,0,0
"582",0,0,1,1,0.0698472272241071
"583",0,1,0,0,0.0486919366250896
"584",0,0,0,0,0
"585",0,0,0,0,0
"586",0,0,0,0,0
"587",0,0,1,1,0
"588",1,0,0,0,0.316976979463403
"589",0,0,0,0,0
"590",0,0,1,1,0.135609446538816
"591",0,0,1,1,0.204676919104127
"592",0,0,0,0,0
"593",1,0,0,0,0.187458305726067
"594",0,1,0,0,0.032706454158427
"595",0,0,1,1,0.227472480395436
"596",0,1,0,1,0.0552499009224766
"597",1,0,0,0,0.658316619449623
"598",0,0,0,0,0
"599",0,0,1,1,0.0916196785436485
"600",0,1,0,0,0.0413541730110411
"601",0,0,0,0,0
"602",1,0,0,0,0.31061393130958
"603",1,0,0,0,0.566878066119988
"604",1,0,0,0,0.587958102948599
"605",0,0,1,1,0.461767525495107
"606",1,0,0,1,0.601910081360396
"607",0,1,0,0,0.0307405866059594
"608",1,0,0,0,0.227384583399675
"609",0,0,1,1,0.446342407562874
"610",0,0,1,1,0.340374310930893
"611",0,0,0,0,0
"612",0,0,0,0,0
"613",1,0,0,0,0.391848271908806
"614",0,0,0,0,0
"615",1,0,0,1,0.241867782501963
"616",1,0,0,1,0.626346870711279
"617",0,0,1,1,0.177793977173415
"618",0,0,0,0,0
"619",0,1,0,0,0.0462879738020538
"620",1,0,0,0,0
"621",0,1,0,0,0.0344230506066485
"622",0,0,0,0,0
"623",0,1,0,1,0.0588678928563564
"624",0,0,1,1,0.20549681641592
"625",0,1,0,0,0.0440259851661649
"626",0,0,0,0,0
"627",1,0,0,0,0.480116852222069
"628",0,0,1,0,0.264786487149262
"629",0,0,0,0,0
"630",0,0,1,1,0.246651079392777
"631",1,0,0,0,0.570235028950477
"632",1,0,0,1,0.268545669926126
"633",1,0,0,0,0.330347259634808
"634",0,0,0,0,0
"635",0,1,0,1,0.0530400940983283
"636",0,0,1,1,0
"637",0,0,1,1,0.325359224877145
"638",0,0,0,0,0
"639",1,0,0,0,0.429131664194111
"640",0,0,0,0,0
"641",0,0,1,1,0
"642",0,0,1,1,0.269280706375715
"643",0,0,1,1,0.243728859914613
"644",1,0,0,0,0.246425732253864
"645",1,0,0,1,0.251924054743597
"646",0,1,0,1,0.0474558136051321
"647",0,0,0,0,0
"648",0,0,0,0,0
"649",1,0,0,0,0.185027554640507
"650",0,1,0,0,0.0597653276674386
"651",0,0,1,0,0
"652",0,0,0,0,0
"653",1,0,0,1,0.796617024460677
"654",1,0,0,1,0.400645412671715
"655",0,1,0,1,0.0548418312245376
"656",1,0,0,0,0.350420122144242
"657",0,0,1,1,0.527483351158687
"658",0,0,0,0,0
"659",1,0,0,0,0.513509396533472
"660",1,0,0,0,0.356498753836806
"661",0,1,0,1,0.0510435104423649
"662",0,0,0,0,0
"663",1,0,0,0,0
"664",0,1,0,1,0.0473930510528161
"665",0,0,1,1,0.161068139821081
"666",1,0,0,1,0.54874759298256
"667",0,0,0,0,0
"668",1,0,0,1,0.236434048578403
"669",1,0,0,0,0.453612632794104
"670",1,0,0,1,0
"671",0,0,1,1,0.319764786455062
"672",0,0,0,0,0
"673",0,0,0,0,0
"674",1,0,0,0,0.270430503906335
"675",1,0,0,0,0.269307705332211
"676",0,0,0,0,0
"677",0,0,1,0,0.368882046780933
"678",0,0,0,0,0
"679",1,0,0,0,0.545024605056103
"680",0,0,0,0,0
"681",1,0,0,0,0.51088442071809
"682",0,1,0,0,0.0581714591518845
"683",0,1,0,1,0.0484057328365049
"684",1,0,0,1,0.508684917478614
"685",0,0,1,1,0.285635740525604
"686",1,0,0,1,0.193127678088465
"687",0,1,0,1,0.0469660406371201
"688",0,1,0,0,0.0554828585474374
"689",0,0,0,0,0
"690",1,0,0,0,0.102092537394184
"691",1,0,0,1,0.170131854079776
"692",1,0,0,0,0.0761784903884634
"693",1,0,0,1,0.422804531184652
"694",0,0,0,0,0
"695",0,0,0,0,0
"696",0,0,1,1,0.374679704096839
"697",0,1,0,1,0.0325065942724618
"698",0,0,1,1,0.0561798120783974
"699",1,0,0,0,0.396543869811163
"700",1,0,0,0,0.443891903883847
"701",0,0,1,0,0.267997533177525
"702",0,0,0,0,0
"703",0,0,1,0,0.19726379826857
"704",0,1,0,0,0.0597529833405159
"705",0,0,1,0,0.180875554840533
"706",0,0,1,1,0.456087952349319
"707",1,0,0,1,0.163943358582054
"708",1,0,0,1,0.776891086624052
"709",1,0,0,0,0.111353309919088
"710",1,0,0,1,0.201420637357421
"711",1,0,0,1,0.303576284620114
"712",1,0,0,0,0.332487815187151
"713",0,0,1,0,0.133602045627953
"714",0,0,0,0,0
"715",0,0,0,0,0
"716",0,0,1,1,0.0667903618380732
"717",0,0,1,1,0.209160536953514
"718",0,0,0,0,0
"719",1,0,0,0,0.386916700965528
"720",0,0,1,1,0.22217513028462
"721",0,0,1,1,0.376745422044765
"722",0,0,1,0,0.437785018073596
"723",1,0,0,0,0.120417281526236
"724",1,0,0,0,0.322438053338702
"725",1,0,0,0,0.236171671165936
"726",1,0,0,0,0.450175459093431
"727",1,0,0,0,0.399219792537099
"728",1,0,0,0,0.769295519246773
"729",0,1,0,1,0.0597906708153106
"730",0,0,0,0,0
"731",1,0,0,1,0.315183643502763
"732",0,0,1,0,0.0486749735783373
"733",1,0,0,1,0.0691467298839639
"734",1,0,0,1,0.12750241083501
"735",0,0,1,1,0.263550022678597
"736",0,0,1,1,0.406258184529703
"737",0,0,0,0,0
"738",0,0,0,0,0
"739",1,0,0,0,0.540141023801104
"740",1,0,0,1,0.264632188210108
"741",1,0,0,0,0
"742",0,1,0,1,0.0435825586076676
"743",0,0,0,0,0
"744",0,0,1,0,0.220145658350889
"745",1,0,0,1,0.156802633473912
"746",1,0,0,0,0
"747",1,0,0,1,0.537037813927695
"748",0,0,1,1,0.0597293780787287
"749",0,1,0,0,0.0574705601951791
"750",0,0,0,0,0
"751",1,0,0,1,0.254306500987926
"752",0,1,0,1,0.046866235671512
"753",0,0,0,0,0
"754",0,0,1,0,0.163541561218371
"755",0,0,1,0,0.155599992003798
"756",0,1,0,1,0.0551705969412368
"757",0,1,0,0,0.0567830750447073
"758",0,0,1,0,0.676019765474207
"759",0,0,0,0,0
"760",1,0,0,1,0.82380443112963
"761",0,0,1,1,0.234674299331131
"762",0,0,0,0,0
"763",1,0,0,0,0.446545596178808
"764",1,0,0,0,0.138223435364089
"765",0,1,0,1,0.0418427369113781
"766",0,0,1,1,0.267379311867484
"767",1,0,0,0,0.803365653236645
"768",0,0,0,0,0
"769",1,0,0,0,0.21404825497798
"770",0,0,0,0,0
"771",0,0,1,1,0.29319877453365
"772",1,0,0,1,0.36135283735035
"773",1,0,0,1,0
"774",0,1,0,0,0.0629205921145133
"775",1,0,0,0,0.397857487522393
"776",0,0,1,1,0.0722701319902347
"777",1,0,0,0,0.505182847387127
"778",0,1,0,1,0.0396176609925072
"779",0,0,0,0,0
"780",1,0,0,0,0.275771464670108
"781",0,0,1,1,0.337905221290426
